,name,interests,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,geo_locations,all_fields,targeting,response,audience,timestamp
0,Luxury in Bahrein and Argelia,"{u'or': [6007828099136, 6003392552125], u'name': u'Not very good'}","{u'max': 24, u'min': 18}",0.0,"{u'or': [6015559470583], u'name': u'Expats'}","{u'name': u'Graduated', u'or': [3, 7, 8, 9, 11]}","{u'values': [28], u'name': u'Arabic'}",,,"{u'values': [{u'key': u'3843'}], u'name': u'regions'}","(('interests', {u'or': [6007828099136, 6003392552125], u'name': u'Not very good'}), ('geo_locations', {u'values': [{u'key': u'3843'}], u'name': u'regions'}), ('behavior', {u'or': [6015559470583], u'name': u'Expats'}), ('languages', {u'values': [28], u'name': u'Arabic'}), ('scholarities', {u'name': u'Graduated', u'or': [3, 7, 8, 9, 11]}), ('genders', 0), ('ages_ranges', {u'max': 24, u'min': 18}))","{'flexible_spec': [{'interests': [{'id': 6007828099136}, {'id': 6003392552125}]}, {'behaviors': [{'id': 6015559470583}]}, {'education_statuses': [3, 7, 8, 9, 11]}], 'geo_locations': {u'regions': [{u'key': u'3843'}], 'location_types': ['home']}, 'age_min': 18, 'genders': [0], 'age_max': 24, 'exclusions': {}, 'locales': [28]}",,,1489923332
1,Luxury in Bahrein and Argelia,"{u'or': [6007828099136, 6003392552125], u'name': u'Not very good'}","{u'max': 24, u'min': 18}",0.0,"{u'or': [6015559470583], u'name': u'Expats'}","{u'name': u'Graduated', u'or': [3, 7, 8, 9, 11]}","{u'values': [28], u'name': u'Arabic'}",,,"{u'values': [{u'key': u'3843'}], u'name': u'regions', u'location_types': [u'recent']}","(('interests', {u'or': [6007828099136, 6003392552125], u'name': u'Not very good'}), ('geo_locations', {u'values': [{u'key': u'3843'}], u'name': u'regions', u'location_types': [u'recent']}), ('behavior', {u'or': [6015559470583], u'name': u'Expats'}), ('languages', {u'values': [28], u'name': u'Arabic'}), ('scholarities', {u'name': u'Graduated', u'or': [3, 7, 8, 9, 11]}), ('genders', 0), ('ages_ranges', {u'max': 24, u'min': 18}))","{'flexible_spec': [{'interests': [{'id': 6007828099136}, {'id': 6003392552125}]}, {'behaviors': [{'id': 6015559470583}]}, {'education_statuses': [3, 7, 8, 9, 11]}], 'geo_locations': {u'regions': [{u'key': u'3843'}], 'location_types': [u'recent']}, 'age_min': 18, 'genders': [0], 'age_max': 24, 'exclusions': {}, 'locales': [28]}",,,1489923332
